DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Points,Year,RaceNumber,EventName,CircuitName
44,HAM,Mercedes,6.0,5.0,Finished,10.0,2022,6,Spanish Grand Prix,Barcelona
77,BOT,Alfa Romeo,7.0,6.0,Finished,8.0,2022,6,Spanish Grand Prix,Barcelona
31,OCO,Alpine,12.0,7.0,Finished,6.0,2022,6,Spanish Grand Prix,Barcelona
4,NOR,McLaren,11.0,8.0,Finished,4.0,2022,6,Spanish Grand Prix,Barcelona
14,ALO,Alpine,20.0,9.0,+1 Lap,2.0,2022,6,Spanish Grand Prix,Barcelona
22,TSU,AlphaTauri,13.0,10.0,+1 Lap,1.0,2022,6,Spanish Grand Prix,Barcelona
5,VET,Aston Martin,16.0,11.0,+1 Lap,0.0,2022,6,Spanish Grand Prix,Barcelona
3,RIC,McLaren,9.0,12.0,+1 Lap,0.0,2022,6,Spanish Grand Prix,Barcelona
10,GAS,AlphaTauri,14.0,13.0,+1 Lap,0.0,2022,6,Spanish Grand Prix,Barcelona
47,MSC,Haas F1 Team,10.0,14.0,+1 Lap,0.0,2022,6,Spanish Grand Prix,Barcelona
18,STR,Aston Martin,17.0,15.0,+1 Lap,0.0,2022,6,Spanish Grand Prix,Barcelona
6,LAT,Williams,19.0,16.0,+2 Laps,0.0,2022,6,Spanish Grand Prix,Barcelona
20,MAG,Haas F1 Team,8.0,17.0,+2 Laps,0.0,2022,6,Spanish Grand Prix,Barcelona
23,ALB,Williams,18.0,18.0,+2 Laps,0.0,2022,6,Spanish Grand Prix,Barcelona
24,ZHO,Alfa Romeo,15.0,19.0,Power loss,0.0,2022,6,Spanish Grand Prix,Barcelona
16,LEC,Ferrari,1.0,20.0,Turbo,0.0,2022,6,Spanish Grand Prix,Barcelona
11,PER,Red Bull Racing,3.0,1.0,Finished,25.0,2022,7,Monaco Grand Prix,Monaco
55,SAI,Ferrari,2.0,2.0,Finished,18.0,2022,7,Monaco Grand Prix,Monaco
1,VER,Red Bull Racing,4.0,3.0,Finished,15.0,2022,7,Monaco Grand Prix,Monaco
16,LEC,Ferrari,1.0,4.0,Finished,12.0,2022,7,Monaco Grand Prix,Monaco
63,RUS,Mercedes,6.0,5.0,Finished,10.0,2022,7,Monaco Grand Prix,Monaco
4,NOR,McLaren,5.0,6.0,Finished,9.0,2022,7,Monaco Grand Prix,Monaco
14,ALO,Alpine,7.0,7.0,Finished,6.0,2022,7,Monaco Grand Prix,Monaco
44,HAM,Mercedes,8.0,8.0,Finished,4.0,2022,7,Monaco Grand Prix,Monaco
77,BOT,Alfa Romeo,12.0,9.0,Finished,2.0,2022,7,Monaco Grand Prix,Monaco
5,VET,Aston Martin,9.0,10.0,Finished,1.0,2022,7,Monaco Grand Prix,Monaco
10,GAS,AlphaTauri,17.0,11.0,Finished,0.0,2022,7,Monaco Grand Prix,Monaco
31,OCO,Alpine,10.0,12.0,Finished,0.0,2022,7,Monaco Grand Prix,Monaco
3,RIC,McLaren,14.0,13.0,Finished,0.0,2022,7,Monaco Grand Prix,Monaco
18,STR,Aston Martin,18.0,14.0,Finished,0.0,2022,7,Monaco Grand Prix,Monaco
6,LAT,Williams,19.0,15.0,+1 Lap,0.0,2022,7,Monaco Grand Prix,Monaco
24,ZHO,Alfa Romeo,20.0,16.0,+1 Lap,0.0,2022,7,Monaco Grand Prix,Monaco
22,TSU,AlphaTauri,11.0,17.0,+1 Lap,0.0,2022,7,Monaco Grand Prix,Monaco
23,ALB,Williams,16.0,18.0,Mechanical,0.0,2022,7,Monaco Grand Prix,Monaco
47,MSC,Haas F1 Team,15.0,19.0,Accident,0.0,2022,7,Monaco Grand Prix,Monaco
20,MAG,Haas F1 Team,13.0,20.0,Water pressure,0.0,2022,7,Monaco Grand Prix,Monaco
1,VER,Red Bull Racing,3.0,1.0,Finished,25.0,2022,8,Azerbaijan Grand Prix,Baku
11,PER,Red Bull Racing,2.0,2.0,Finished,19.0,2022,8,Azerbaijan Grand Prix,Baku
63,RUS,Mercedes,5.0,3.0,Finished,15.0,2022,8,Azerbaijan Grand Prix,Baku
44,HAM,Mercedes,7.0,4.0,Finished,12.0,2022,8,Azerbaijan Grand Prix,Baku
10,GAS,AlphaTauri,6.0,5.0,Finished,10.0,2022,8,Azerbaijan Grand Prix,Baku
5,VET,Aston Martin,9.0,6.0,Finished,8.0,2022,8,Azerbaijan Grand Prix,Baku
14,ALO,Alpine,10.0,7.0,Finished,6.0,2022,8,Azerbaijan Grand Prix,Baku
3,RIC,McLaren,12.0,8.0,Finished,4.0,2022,8,Azerbaijan Grand Prix,Baku
4,NOR,McLaren,11.0,9.0,Finished,2.0,2022,8,Azerbaijan Grand Prix,Baku
31,OCO,Alpine,13.0,10.0,Finished,1.0,2022,8,Azerbaijan Grand Prix,Baku
77,BOT,Alfa Romeo,15.0,11.0,+1 Lap,0.0,2022,8,Azerbaijan Grand Prix,Baku
23,ALB,Williams,17.0,12.0,+1 Lap,0.0,2022,8,Azerbaijan Grand Prix,Baku
22,TSU,AlphaTauri,8.0,13.0,+1 Lap,0.0,2022,8,Azerbaijan Grand Prix,Baku
47,MSC,Haas F1 Team,20.0,14.0,+1 Lap,0.0,2022,8,Azerbaijan Grand Prix,Baku
6,LAT,Williams,18.0,15.0,+1 Lap,0.0,2022,8,Azerbaijan Grand Prix,Baku
18,STR,Aston Martin,19.0,16.0,Vibrations,0.0,2022,8,Azerbaijan Grand Prix,Baku
20,MAG,Haas F1 Team,16.0,17.0,Power Unit,0.0,2022,8,Azerbaijan Grand Prix,Baku
